Car_ID,Brand,Model,Year,Fuel_Type,Transmission,KM_Driven,Owner,Engine_CC,Mileage_KMPL,Max_Power_BHP,Seats,Seller_Type,Selling_Price_IDR,Vehicle_Age,KM_Per_Year
CAR00001,Maruti,Baleno,2018,Petrol,Automatic,98376,1,1197,14.7,57,5,Individual,72184040,7,12297
CAR00002,Volkswagen,Polo,2016,Diesel,Manual,57194,3,999,15.8,45,7,Individual,44444990,9,5719.4
CAR00003,Kia,Sonet,2020,Petrol,Manual,58910,1,1197,17.3,65,7,Individual,95880460,5,9818.33
CAR00004,Toyota,Glanza,2021,Petrol,Automatic,62497,1,1197,15.8,56,5,Dealer,82176330,4,12499.4
CAR00005,Toyota,Urban Cruiser,2017,Diesel,Manual,67569,1,1462,18.9,78,5,Individual,66317030,8,7507.67
CAR00006,Renault,Triber,2023,Diesel,Manual,52001,1,999,22,45,5,Dealer,125304810,2,17333.67
CAR00007,Maruti,Dzire,2021,Electric,Automatic,71939,1,1197,17.6,62,7,Dealer,80036550,4,14387.8
CAR00008,Kia,Carens,2015,CNG,Manual,90824,1,1497,20.7,122,5,Dealer,91314950,10,8256.73
CAR00009,Tata,Tiago,2025,Diesel,Automatic,16195,2,1199,17.5,45,5,Individual,97808580,0,16195
CAR00010,Maruti,Baleno,2014,Diesel,Automatic,97184,1,1197,19.4,74,5,Individual,38804270,11,8098.67
CAR00011,Mahindra,Bolero,2021,Diesel,Manual,48786,2,1493,17.5,76,5,Dealer,100750540,4,9757.2
CAR00012,Skoda,Rapid,2019,Diesel,Manual,48784,1,1498,15.8,62,7,Dealer,88101100,6,6969.14
CAR00013,Volkswagen,Taigun,2021,Petrol,Manual,27706,1,1498,18.7,113,5,Dealer,174506260,4,5541.2
CAR00014,Volkswagen,Virtus,2023,Diesel,Automatic,32313,1,1498,27.6,111,7,Individual,196792310,2,10771
CAR00015,Volkswagen,Taigun,2022,Diesel,Manual,55972,1,1498,19,107,5,Individual,188531490,3,13993
CAR00016,Volkswagen,Virtus,2021,Petrol,Automatic,44435,1,1498,15.3,90,5,Individual,186605460,4,8887
CAR00017,Mahindra,XUV500,2024,CNG,Manual,38821,1,2179,18.8,92,7,Individual,214190990,1,19410.5
CAR00018,Hyundai,Grand i10,2022,Diesel,Manual,46144,1,1197,22.1,48,7,Individual,80435930,3,11536
CAR00019,Renault,Triber,2023,Petrol,Manual,39117,1,999,14.9,66,5,Dealer,108747830,2,13039
CAR00020,Toyota,Glanza,2018,Petrol,Manual,75879,2,1197,21.4,71,7,Dealer,70775190,7,9484.88
CAR00021,Mahindra,Bolero,2016,Petrol,Manual,129056,1,1493,12.6,69,7,Individual,56309350,9,12905.6
CAR00022,Honda,Amaze,2016,Petrol,Manual,106784,1,1199,18.1,57,7,Individual,47546930,9,10678.4
CAR00023,Hyundai,Verna,2021,Petrol,Automatic,91460,1,1497,19.5,70,7,Individual,119867010,4,18292
CAR00024,Skoda,Kushaq,2020,Petrol,Manual,91225,1,1498,19.8,120,5,Individual,120107740,5,15204.17
CAR00025,Volkswagen,Virtus,2014,Petrol,Manual,135591,2,1498,19.6,101,5,Dealer,76019380,11,11299.25
CAR00026,Kia,Seltos,2016,Petrol,Manual,60683,1,1497,18.3,91,5,Dealer,95227620,9,6068.3
CAR00027,Toyota,Fortuner,2025,Diesel,Automatic,16846,3,2755,22.8,247,5,Individual,562227100,0,16846
CAR00028,Renault,Kwid,2022,Diesel,Manual,38605,2,999,16.3,45,5,Dealer,62639960,3,9651.25
CAR00029,Mahindra,Thar,2023,Petrol,Manual,33148,1,1997,15.6,120,5,Individual,243308110,2,11049.33
CAR00030,Toyota,Innova,2016,Petrol,Manual,127804,1,2393,16.3,134,5,Dealer,126653050,9,12780.4
CAR00031,Toyota,Fortuner,2014,Petrol,Manual,147094,1,2755,22,332,5,Dealer,156536820,11,12257.83
CAR00032,Tata,Safari,2017,Petrol,Manual,119505,2,1956,18.9,129,5,Individual,97622570,8,13278.33
CAR00033,Maruti,Wagon R,2024,Petrol,Manual,35178,1,1197,19.5,45,5,Dealer,91637950,1,17589
CAR00034,Mahindra,XUV500,2020,Petrol,Manual,95396,1,2179,17,111,5,Individual,121581760,5,15899.33
CAR00035,Renault,Kwid,2023,Petrol,Manual,17269,1,999,20,45,5,Dealer,77325060,2,5756.33
CAR00036,Maruti,Baleno,2019,Electric,Automatic,96147,2,1197,17.8,63,5,Individual,57637260,6,13735.29
CAR00037,Renault,Triber,2019,Petrol,Manual,104646,1,999,16.3,57,7,Individual,55595520,6,14949.43
