Fitur,Importance
Engine_CC,0.35161704
Year,0.20775372
Max_Power_BHP,0.12706208
Brand_Mahindra,0.080453664
KM_Driven,0.023971153
Model_Octavia,0.017966293
Model_Kwid,0.016455663
Owner,0.011638783
Brand_Kia,0.009434206
Transmission_Automatic,0.009081222
Power_per_CC,0.007922971
Brand_Skoda,0.0067797448
Brand_Tata,0.0062789544
Model_Innova,0.00594071
Model_XUV500,0.0058335816
Brand_Honda,0.005470587
Seller_Type_Dealer,0.005108821
Model_XUV700,0.0047942107
Model_Taigun,0.0046241344
Model_Kushaq,0.0039834804
Model_Seltos,0.0038823464
Fuel_Type_CNG,0.0037052017
Model_i10,0.003607479
Brand_Renault,0.0035666588
Model_Urban Cruiser,0.0035332595
Model_Nexon,0.0033845524
Model_Verna,0.003315586
Model_Rapid,0.003172516
Model_Harrier,0.0031514994
Model_Thar,0.002957918
Model_Virtus,0.0029000144
Brand_Maruti,0.002757495
Fuel_Type_Petrol,0.0027230775
Model_Tiago,0.0027189034
Model_Venue,0.0023263914
Model_Wagon R,0.0022000535
Model_Carens,0.0021681457
Brand_Toyota,0.0021582246
Model_Scorpio,0.0021562674
Model_Duster,0.002127126
Model_Vento,0.0020638655
KM_Per_Year,0.0018833823
Model_WR-V,0.001823405
Model_Swift,0.0017616064
Model_Jazz,0.0017084067
Model_City,0.001643922
Model_i20,0.0016013848
Model_Grand i10,0.0016008866
Seats,0.0015518463
Model_Amaze,0.001507679
Model_Bolero,0.0013108003
Mileage_KMPL,0.0012873012
Model_Safari,0.0012583648
Model_Punch,0.001174376
Model_Slavia,0.0011000142
Model_Triber,0.0010614544
Fuel_Type_Electric,0.0009931754
Brand_Volkswagen,0.0008569315
Fuel_Type_Diesel,0.00078222685
Model_Creta,0.0007247578
Model_Dzire,0.0005527937
Model_Glanza,0.0005489663
Model_Ertiga,0.00038939193
Model_Sonet,0.00012933451
Model_Altroz,0.0
Model_Celerio,0.0
Model_Brezza,0.0
Model_Baleno,0.0
Transmission_Manual,0.0
Vehicle_Age,0.0
Model_Polo,0.0
Model_Fortuner,0.0
Brand_Hyundai,0.0
Seller_Type_Individual,0.0
